schl_name,dist_name,school_rank_composite,school_rank_ela,school_rank_math,gr11_schl_ttl_scale_score_sat_2017_composite,gr11_schl_avg_scale_score_in_ela_sat_2017_ela,gr11_schl_avg_scale_score_in_math_sat_2017_math,gr11_dist_ttl_scale_score_sat_2017_composite,gr11_dist_avg_scale_score_in_ela_sat_2017_ela,gr11_dist_avg_scale_score_in_math_sat_2017_math,district_rank_composite,district_rank_ela,district_rank_math
Payton College Preparatory HS,City of Chicago SD 299,1,1,1,1375,688.6,686.4,956.1,483.7,472.5,406,406,393
Northside College Preparatory Hs,City of Chicago SD 299,2,2,2,1329.3,671.1,658.2,956.1,483.7,472.5,406,406,393
Young Magnet High School,City of Chicago SD 299,3,3,3,1290.4,643.1,647.3,956.1,483.7,472.5,406,406,393
New Trier Township H S Winnetka,New Trier Twp HSD 203,4,5,4,1258.2,632.3,625.9,1258,632.2,625.8,1,1,1
Jones College Prep High School,City of Chicago SD 299,5,4,7,1247.3,633.8,613.6,956.1,483.7,472.5,406,406,393
Adlai E Stevenson High School,Adlai E Stevenson HSD 125,6,6,5,1232.9,610.8,622,1232.9,610.8,622,2,2,2
Lane Technical High School,City of Chicago SD 299,7,8,6,1222.9,608.2,614.7,956.1,483.7,472.5,406,406,393
Hinsdale Central High School,Hinsdale Twp HSD 86,8,7,9,1218.1,609.5,608.6,1171.1,585.9,585.2,10,10,10
Glenbrook North High School,Northfield Twp HSD 225,9,11,8,1214.1,604.5,609.6,1171,584.9,586.1,12,12,8
Neuqua Valley High School,Indian Prairie CUSD 204,10,9,10,1213.5,606,607.5,1165.9,583.4,582.6,14,14,14
Libertyville High School,CHSD 128,11,13,11,1204.1,602.4,601.7,1189,593.5,595.5,4,4,4
Deerfield High School,Twp HSD 113,12,10,13,1203.1,604.6,598.5,1174,590.7,583.3,8,6,12
John Hersey High School,Township HSD 214,13,12,14,1202.3,604.4,597.9,1104.8,552,552.8,37,41,37
Lake Forest High School,Lake Forest CHSD 115,14,14,12,1200.8,599.6,601.2,1200.8,599.6,601.2,3,3,3
Naperville Central High School,Naperville CUSD 203,15,15,15,1186.8,590.5,596.3,1179.7,587.9,591.9,6,8,6
Wm Fremd High School,Township HSD 211,16,18,16,1179.9,584.7,595.2,1093,542.2,550.8,55,67,52
Naperville North High School,Naperville CUSD 203,17,17,17,1175.8,586.6,589.2,1179.7,587.9,591.9,6,8,6
Vernon Hills High School,CHSD 128,18,24,18,1166.2,580.1,586.2,1189,593.5,595.5,4,4,4
Prospect High School,Township HSD 214,19,21,19,1165.8,581.4,584.3,1104.8,552,552.8,37,41,37
York Comm High School,Elmhurst SD 205,20,20,22,1162.6,582.4,580.2,1162.6,582.4,580.2,17,17,19
Dunlap High School,Dunlap CUSD 323,21,25,20,1160.8,578.5,582.3,1160.8,578.5,582.3,18,19,17
Highland Park High School,Twp HSD 113,22,23,29,1152.8,580.8,572,1174,590.7,583.3,8,6,12
Glenbrook South High School,Northfield Twp HSD 225,23,27,25,1150.7,575.3,575.4,1171,584.9,586.1,12,12,8
Metea Valley High School,Indian Prairie CUSD 204,24,26,28,1149.1,576.5,572.6,1165.9,583.4,582.6,14,14,14
St Charles North High School,St Charles CUSD 303,25,32,23,1148.9,570,579,1121.5,560.5,561,27,28,26
Maine South High School,Maine Township HSD 207,26,33,24,1147.4,568.6,578.9,1069.3,534.1,535.2,83,95,76
Proviso Math and Science Academy,Proviso Twp HSD 209,27,16,48,1146,590.2,555.8,934.6,476.4,458.1,623,612,636
Mahomet-Seymour High School,Mahomet-Seymour CUSD 3,28,37,21,1145.9,564.5,581.4,1145.9,564.5,581.4,19,25,18
Geneva Community High School,Geneva CUSD 304,29,28,31,1145.2,573.9,571.3,1145.2,573.9,571.3,20,20,22
Lake Zurich High School,Lake Zurich CUSD 95,30,30,30,1143.4,571.6,571.8,1142.6,571.2,571.4,21,21,21
Oak Park & River Forest High Sch,Oak Park - River Forest SD 200,31,22,38,1141.8,581.1,560.6,1141.8,581.1,560.6,22,18,28
Lyons Twp High Sch,Lyons Twp HSD 204,32,35,27,1140.3,567.2,573,1139.8,567.1,572.7,23,23,20
Buffalo Grove High School,Township HSD 214,33,39,26,1136.4,562.6,573.8,1104.8,552,552.8,37,41,37
Barrington High School,Barrington CUSD 220,34,34,35,1135.8,568.4,567.4,1135.5,568.2,567.4,24,22,24
Lemont Twp High School,Lemont Twp HSD 210,35,43,31,1132.7,561.3,571.3,1131.5,560.8,570.6,25,27,23
Brooks College Prep Academy HS,City of Chicago SD 299,36,19,60,1132.6,584.6,548,956.1,483.7,472.5,406,406,393
Morton High School,Morton CUSD 709,37,36,37,1127.8,565.6,562.2,1127.6,565.3,562.3,26,24,25
Waubonsie Valley High School,Indian Prairie CUSD 204,38,38,36,1126.6,563.4,563.3,1165.9,583.4,582.6,14,14,14
Comm H S Dist 99 - North H S,CHSD 99,39,47,33,1125.4,557.3,568.1,1102.9,545.2,557.7,45,57,30
Lincoln-Way East High School,Lincoln Way CHSD 210,40,31,51,1123.3,570.8,552.5,1106.8,560.1,546.7,32,30,58
Glenbard West High School,Glenbard Twp HSD 87,41,41,39,1122.9,562.5,560.3,1063.9,532,531.9,93,102,90
J B Conant High School,Township HSD 211,42,54,34,1121.8,553.9,567.9,1093,542.2,550.8,55,67,52
Lindblom Math & Science Acad HS,City of Chicago SD 299,43,29,57,1120.6,571.8,548.9,956.1,483.7,472.5,406,406,393
Evanston Twp High School,Evanston Twp HSD 202,44,42,46,1118.5,561.8,556.7,1116.6,560.9,555.7,30,26,34
Batavia Sr High School,Batavia USD 101,45,44,42,1117.3,559.2,558.1,1117.3,559.2,558.1,29,33,29
Prairie Ridge High School,CHSD 155,46,50,40,1116.3,556.3,560,1101.1,550,551.1,47,47,46
Cary-Grove Community High School,CHSD 155,47,49,41,1114.7,556.4,558.3,1101.1,550,551.1,47,47,46
Wheaton North High School,CUSD 200,48,48,43,1114.4,556.6,557.8,1105.7,554.6,551.1,35,35,46
Grayslake Central High School,Grayslake CHSD 127,49,39,55,1111.9,562.6,549.3,1089.2,548.5,540.7,62,53,71
