value,label
10010010260001,Seymour High School
10010010262002,Seymour Elementary School
10010020260001,Liberty High School
10010020262002,Liberty Elementary School
10010030260001,Central High School
10010030261001,Central Junior High School
10010030262003,Central Elementary Grade School
10010030262008,Central 3-4 Middle School
10010040260001,Unity High School
10010040262006,Unity Elementary School
10010040262007,Unity Middle School
10011720220003,Quincy Sr High School
10011720221003,Quincy Jr High School
10011720222004,Adams Elementary School
10011720222006,Dewey Elementary School
10011720222007,Ellington Elementary School
10011720222008,Berrian School
10011720222009,Madison School
10011720222016,Monroe Elementary School
10011720222017,Washington Elementary School
10011720222019,Baldwin Intermediate
10050010260001,Brown County High School
10050010261002,Brown County Middle School
10050010262002,Brown County Elementary School
10090150260007,Beardstown Jr/Sr High School
10090640262001,Virginia Elem School
10090150262003,Gard Elementary School
10090640260003,Virginia Jr/ Sr High School
10092620260002,A-C Central High School
10092620261002,A-C Central Middle School
10092620262001,A-C Central Elementary School
10690010260001,Franklin Jr/Sr High School
10690010262004,Alexander Elem School
10690010262005,Franklin East Grade School
10690060260001,Waverly Jr/Sr  High School
10690060262002,Waverly Elementary School
10690110260001,Meredosia-Chambersburg High Sch
10690110261001,Meredosia-Chambersburg Jr High
10690110262003,Meredosia-Chambersburg Elem Sch
10690270260001,Triopia Jr-Sr High School
10690270262002,Triopia Grade School
10691170220014,Jacksonville High School
10691170221013,Jonathan Turner Jr High School
10691170222001,Eisenhower Elem School
10691170222005,Washington Elem School
10691170222006,Lincoln Elem School
10691170222007,South Jacksonville Elem School
10691170222008,North Jacksonville School
10691170222009,Murrayville-Woodson Elem School
10750030260002,Pleasant Hill High School
10750030262001,Pleasant Hill Elem School
10750040260002,Griggsville-Perry High School
10750040261002,Griggsville-Perry Middle School
10750040262001,Griggsville-Perry Primary School
10750100260009,Pittsfield High School
10750100262007,Pittsfield South Elem School
10750100262010,Pikeland Community School
10750120260001,Western High School
10750120261001,Western Jr High School
10750120262001,Western Barry Elem
10860010260001,Winchester High School
10860010262002,Winchester Elem School
10860020260001,Bluffs High School
10860020261001,Bluffs Junior High School
10860020262001,Bluffs Elementary School
30030010260001,Mulberry Grove Sr High School
30030010261001,Mulberry Grove Jr High School
30030010262001,Mulberry Grove Elem School
30030020260001,Bond Cty Comm Unit 2 High School
30030020261002,Greenville Jr High School
30030020262003,Greenville Elem School
30030020262004,Pocahontas Center
30030020262005,Sorento Elem School
30110010260002,Morrisonville High School
30110010261001,Morrisonville Jr High School
30110010262001,Morrisonville Elem School
30110030260006,Taylorville Sr High School
30110030261005,Taylorville Jr High School
30110030262001,Memorial Elem School
30110030262003,North Elem School
30110030262005,Stonington Elem School
30110040260002,Edinburg High School
30110040261001,Edinburg Jr High School
30110040262001,Edinburg Elem School
30110080260006,Pana Sr High School
30110080261005,Pana Jr High School
30110080262001,Lincoln Elem School
30110080262003,Washington Elem School
30110140240001,South Fork Jr Sr High School
30110140242001,South Fork Elementary School
30250100260001,Altamont High School
30250100262002,Altamont Grade School
30250200260001,Beecher City Jr-Sr High School
30250200262003,Beecher City Grade School
30250300260001,Dieterich Jr/Sr High School
30250300262002,Dieterich Elem School
30250400260001,Effingham High School
30250400261001,Effingham Junior High School
30250400262002,Central Grade School
30250400262006,Early Learning Center
30250400262008,South Side Grade School
30250500260001,Teutopolis High School
30250500261001,Teutopolis Junior High School
30250500262002,Teutopolis Grade School
30262010260003,Brownstown High School
30262010261001,Brownstown Jr High School
30262010262001,Brownstown Elem School
30262020260002,St Elmo Sr High School
30262020261001,St Elmo Jr High School
30262020262001,St Elmo Elem School
30262030260001,Vandalia Community High School
30262030262008,Vandalia Elementary School
30262030262009,Vandalia Junior High School
30262040260002,Ramsey High School
30262040262001,Ramsey Elem School
30680020260001,Lincolnwood High School
30680020261002,Lincolnwood Jr High School
30680020262003,Farmersville Elem School
30680020262005,Raymond Grade School
30680030260001,Hillsboro High School
30680030261002,Hillsboro Jr High School
30680030262003,Beckemeyer Elem School
30680030262006,Coffeen Elem School
30680120260001,Litchfield Senior High School
30680120261002,Litchfield Middle School
30680120262003,J D Colt Elem School
30680120262004,Madison Park Elem School
30680120262006,Russell Elem School
30680220260001,Nokomis Jr/Sr High Sch
30680220262003,North Elem School
40041000260001,Belvidere High School
40042000262001,Capron Elem School
40041000260002,Belvidere North High Sch
40042000262002,Manchester Elem School
40041000261002,Belvidere South Middle School
40041000261003,Belvidere Central Middle School
40041000262003,Caledonia Elem School
40041000262005,Lincoln Elem School
40041000262007,Perry Elem School
40041000262008,Washington Academy
40041000262009,Meehan Elementary School
40041000262010,Seth Whitman Elem Sch
40042000260003,North Boone High School
40042000261001,North Boone Middle School
40042000262004,Poplar Grove Elem School
40042000262005,North Boone Upper Elem Sch
41011220220002,Harlem High School
41011310041002,Roscoe Middle School
41011220221005,Harlem Middle School
41011220222005,Loves Park Elem School
41011220222006,Maple Elem School
41011220222007,Marquette Elem School
41011220222008,Rock Cut Elem School
41011220222010,Ralston Elem School
41011220222011,Windsor Elem School
41011220222013,Machesney Elem School
41011220222014,Olson Park Elem School
41011220222015,Donald C Parker Early Educ Center
41011310042001,Kinnikinnick School
41011310042002,Ledgewood Elem School
41011310042003,Stone Creek School
41011330041001,Willowbrook Middle School
41011330042001,Prairie Hill Elem School
41011340042001,Shirland C C School
41011400041001,Stephen Mack Middle School
41011400042001,Rockton Elem School
41011400042002,Whitman Post Elem School
41012050250001,Auburn High School
41012050250002,Rockford East High School
41012050252046,Wm Nashold Elem School
41012050250003,Guilford High School
41013200262003,Clark Elementary School
41012050250004,Jefferson High School
41013200262004,Riverview Elementary School
41012050251001,West Middle School
41012050251006,Eisenhower Middle School
41012050251008,Bernard W Flinn Middle School
41012050251009,Abraham Lincoln Middle School
41012050251010,Kennedy Middle School
41012050252014,Barbour Two-Way Lang Immersion
41012050252016,Beyer Elem School
41012050252017,C Henry Bloom Elem School
41012050252018,Brookview Elem School
41012050252019,Clifford P Carlson Elem School
04101205025201C,Legacy Acad of Excellence Charter
41012050252020,Cherry Valley Elem School
41012050252022,Conklin Elem School
41012050252024,Ellis Arts Academy
41012050252027,Arthur Froberg Elem School
41012050252029,Gregory Elem School
04101205025202C,Galapagos Rockford Charter Sch
41012050252034,Haskell Academy
41012050252037,Swan Hillman Elem School
41012050252039,Maud E Johnson Elem School
04101205025203C,Jackson Charter School
41012050252040,Kishwaukee Elem School
41012050252041,Julia Lathrop Elem School
41012050252043,McIntosh Elementary
41012050252047,John Nelson Elem School
41012050252051,Riverdahl Elem School
41012050252054,Rolling Green
41012050252056,Spring Creek Elem School
41012050252059,A C Thompson Elem School
41012050252063,R K Welsh Elem School
41012050252064,West View Elem School
41012050252066,Whitehead Elem School
41012050252067,White Swan Elem School
41012050252078,Thurgood Marshall Elementary
41012050252080,King Elementary School
41012050252084,Lewis Lemon Elementary
41012050252085,Montessori Elementary School
41012050252086,Rockford Envrnmntl Science Acad
41012050252087,Thurgood Marshall School
41013200260001,South Beloit Sr High School
41012070160001,Hononegah High School
41013200261002,South Beloit Jr High School
41013200262005,Blackhawk Elementary School
41013210260001,Pecatonica High School
41013210261001,Pecatonica Comm Middle School
41013210262002,Pecatonica Elem School
41013220260001,Durand High School
41013220261001,Durand Jr High School
41013220262001,Durand Elem School
41013230260001,Winnebago High School
41013230261002,Winnebago Middle School
41013230262003,Dorothy Simon Elem School
41013230262005,Jean McNair Elementary School
50160150041011,Plum Grove Jr High School
50160150041014,Carl Sandburg Jr High School
50160150041016,Winston Campus Jr High
50160150041018,Walter R Sundling Jr High Sch
50160150042001,Jane Addams Elem School
50160150042003,Central Road Elem School
50160150042004,Marion Jordan Elem School
50160150042005,Kimball Hill Elem School
50160150042006,Hunting Ridge Elem School
50160150042007,Lake Louise Elem School
50160150042008,Lincoln Elementary School
50160150042009,Stuart R Paddock School
50160150042010,Pleasant Hill Elem School
50160150042013,Gray M Sanborn Elem School
50160150042015,Virginia Lake Elem School
